[2024-11-20 16:38:02,707][root][INFO] - Train_dataset:48000, Valid_dataset:12000, Test_dataset:10000
[2024-11-20 16:38:02,707][root][INFO] - Train_loader:40, Valid_loader:47, Test_loader:10000
[2024-11-20 16:38:02,709][root][INFO] - success to load model: SimpleModel(
  (fc1): Linear(in_features=784, out_features=10, bias=True)
)
[2024-11-20 16:38:14,319][root][INFO] - Iter [0/], Loss: 1.3094
[2024-11-20 16:38:14,376][root][INFO] - Iter [0/], Loss: 1.2228
[2024-11-20 16:38:14,455][root][INFO] - Iter [0/], Loss: 1.2815
[2024-11-20 16:38:14,540][root][INFO] - Iter [0/], Loss: 1.3151
[2024-11-20 16:38:14,625][root][INFO] - Iter [0/], Loss: 1.2840
[2024-11-20 16:38:14,672][root][INFO] - Iter [0/], Loss: 1.1876
[2024-11-20 16:38:14,728][root][INFO] - Iter [0/], Loss: 1.1912
[2024-11-20 16:38:14,791][root][INFO] - Iter [0/], Loss: 1.2835
[2024-11-20 16:38:14,843][root][INFO] - Iter [0/], Loss: 1.3476
[2024-11-20 16:38:14,928][root][INFO] - Iter [0/], Loss: 1.2881
[2024-11-20 16:38:15,013][root][INFO] - Iter [0/], Loss: 1.3172
[2024-11-20 16:38:15,101][root][INFO] - Iter [0/], Loss: 1.3083
[2024-11-20 16:38:15,176][root][INFO] - Iter [0/], Loss: 1.3352
[2024-11-20 16:38:15,235][root][INFO] - Iter [0/], Loss: 1.2140
[2024-11-20 16:38:15,319][root][INFO] - Iter [0/], Loss: 1.1340
[2024-11-20 16:38:15,374][root][INFO] - Iter [0/], Loss: 1.3356
[2024-11-20 16:38:15,449][root][INFO] - Iter [0/], Loss: 1.2097
[2024-11-20 16:38:15,528][root][INFO] - Iter [0/], Loss: 1.2627
[2024-11-20 16:38:15,575][root][INFO] - Iter [0/], Loss: 1.2681
[2024-11-20 16:38:15,657][root][INFO] - Iter [0/], Loss: 1.1692
[2024-11-20 16:38:15,739][root][INFO] - Iter [0/], Loss: 1.1846
[2024-11-20 16:38:15,830][root][INFO] - Iter [0/], Loss: 1.1255
[2024-11-20 16:38:15,926][root][INFO] - Iter [0/], Loss: 1.2543
[2024-11-20 16:38:16,016][root][INFO] - Iter [0/], Loss: 1.2990
[2024-11-20 16:38:16,099][root][INFO] - Iter [0/], Loss: 1.2777
[2024-11-20 16:38:16,187][root][INFO] - Iter [0/], Loss: 1.2350
[2024-11-20 16:38:16,249][root][INFO] - Iter [0/], Loss: 1.1792
[2024-11-20 16:38:16,323][root][INFO] - Iter [0/], Loss: 1.3503
[2024-11-20 16:38:16,378][root][INFO] - Iter [0/], Loss: 1.1620
[2024-11-20 16:38:16,439][root][INFO] - Iter [0/], Loss: 1.2924
[2024-11-20 16:38:16,523][root][INFO] - Iter [0/], Loss: 1.3255
[2024-11-20 16:38:16,566][root][INFO] - Iter [0/], Loss: 1.2227
[2024-11-20 16:38:16,627][root][INFO] - Iter [0/], Loss: 1.2673
[2024-11-20 16:38:16,704][root][INFO] - Iter [0/], Loss: 1.3390
[2024-11-20 16:38:16,783][root][INFO] - Iter [0/], Loss: 1.2850
[2024-11-20 16:38:16,830][root][INFO] - Iter [0/], Loss: 1.1776
[2024-11-20 16:38:16,886][root][INFO] - Iter [0/], Loss: 1.1902
[2024-11-20 16:38:16,965][root][INFO] - Iter [0/], Loss: 1.3347
[2024-11-20 16:38:19,200][root][INFO] - Accuracy: 64.26%
